Country iso,Country name,Occurrences,Most recent,Total deaths,Affected,Injured,Homeless,Total affected,Total damage
PAN,Panama,4,2003,32,11500,671,9340,21511,0
PER,Peru,42,2014,70711,5789541,156045,303791,6249377,1505150
PHL,Philippines,27,2013,9924,5780528,14155,3995,5798678,583178
PNG,Papua New Guinea,12,2005,87,19400,271,16400,36071,10875
POL,Poland,1,1982,0,1050,0,0,1050,0
PRI,Puerto Rico,1,1918,116,0,0,0,0,0
PRK,Korea Dem P Rep,1,1979,0,0,0,0,0,0
ROU,Romania,13,1991,2630,201845,12005,179000,392850,2010000
RUS,Russia,10,2008,2019,23273,1177,35740,60190,551520
RWA,Rwanda,2,2008,81,1535,751,0,2286,0
SCG,Serbia Montenegro,1,2002,1,0,100,0,100,0
SDN,Sudan,2,1993,3,8000,15,0,8015,0
SLB,Solomon Is,3,2010,35,2125,2,500,2627,0
SLV,El Salvador,9,2006,3405,2220230,29261,300500,2549991,3406500
SRB,Serbia,1,2010,2,25440,120,1470,27030,132260
SUN,Soviet Union,24,1991,153082,1540000,16576,753000,2309576,16869800
SVN,Slovenia,2,2004,1,600,5,700,1305,10000
THA,Thailand,3,2014,2,17500,39,0,17539,62000
TJK,Tajikistan,9,2012,19,38825,72,1634,40531,23500
TKM,Turkmenistan,1,2000,11,0,0,0,0,0
TON,Tonga,1,1977,1,5000,5,500,5505,1200
TTO,Trinidad and Tobago,1,1997,0,0,2,15,17,25000
TUN,Tunisia,1,1957,13,0,0,0,0,0
TUR,Turkey,77,2014,89236,5631261,97613,1195455,6924329,24685400
TWN,Taiwan (China),13,2013,15806,38800,11903,123000,173703,15127900
TZA,Tanzania Uni Rep,9,2005,9,6250,6,2735,8991,0
UGA,Uganda,5,1994,111,57000,510,0,57510,71500
USA,United States,39,2014,2825,42074,13212,20239,75525,41740770
UZB,Uzbekistan,2,2011,22,50086,0,0,50086,0
VEN,Venezuela,8,1997,438,80300,2305,6300,88905,137000
VUT,Vanuatu,8,2002,12,13000,105,2000,15105,0
WLF,Wallis and Futuna Is,1,1993,5,0,20,0,20,0
YEM,Yemen,1,1991,10,0,39,40000,40039,0
YMN,Yemen Arab Rep,1,1982,1507,400000,1500,0,401500,2000000
YUG,Yugoslavia,11,1990,1264,537900,5059,100400,643359,1158600
ZAF,South Africa,9,2014,71,3285,165,0,3450,20000
