Country iso,Country name,Occurrences,Most recent,Total deaths,Affected,Injured,Homeless,Total affected,Total damage
AFG,Afghanistan,31,2013,11427,518255,10826,100535,629616,54060
ALB,Albania,6,2009,47,2790,489,5150,8429,0
ARG,Argentina,5,2002,10076,170500,35365,40200,246065,80000
ARM,Armenia,1,1997,0,15000,0,0,15000,33333
ASM,American Samoa,1,1985,0,0,0,0,0,0
AUS,Australia,4,1994,12,10874,136,420,11430,1009675
AUT,Austria,1,1998,0,0,0,0,0,0
AZE,Azerbaijan,5,2012,33,718944,680,15349,734973,15000
AZO,Azores,3,1998,79,22300,700,1000,24000,72000
BDI,Burundi,1,2004,3,0,0,120,120,0
BEL,Belgium,2,1992,2,1000,30,0,1030,150000
BGD,Bangladesh,6,2003,34,3500,625,15000,19125,0
BGR,Bulgaria,6,2012,131,665,297,3000,3962,0
BOL,Bolivia,3,1998,120,11100,50,6900,18050,0
BRA,Brazil,2,2007,2,15280,6,8000,23286,5000
BRB,Barbados,1,2007,0,0,1,0,1,0
BTN,Bhutan,2,2011,12,20000,28,0,20028,0
CHL,Chile,30,2014,59430,8359206,76541,1318575,9754322,34812070
CHN,China P Rep,150,2015,876402,70730355,667280,4508945,75906580,110277657
COD,Zaire/Congo Dem Rep,3,2008,44,20355,661,250,21266,7200
COG,Congo,1,2005,6,0,5,1500,1505,0
COL,Colombia,24,2013,3593,875982,12331,524712,1413025,2313666
COM,Comoros,1,2014,0,10000,0,0,10000,0
CRI,Costa Rica,14,2012,1877,145387,1097,18009,164493,365700
CUB,Cuba,2,1992,1,5829,48,0,5877,0
CYP,Cyprus,2,1995,42,1710,105,150,1965,4340
DEU,Germany,2,2004,1,1650,25,0,1675,62000
DFR,Germany Fed Rep,1,1978,0,0,35,200,235,150000
DMA,Dominica,1,2004,0,100,0,0,100,0
DOM,Dominican Rep,2,2003,76,2000,15,0,2015,0
DZA,Algeria,21,2014,6765,546003,20769,800850,1367622,10270929
ECU,Ecuador,17,2014,11339,182950,504,214867,398321,1535000
EGY,Egypt,5,2002,594,57950,10026,25020,92996,1200000
ESP,Spain,3,2011,21,0,390,15000,15390,244004
ETH,Ethiopia,7,1969,24,0,165,420,585,7070
FJI,Fiji,2,1990,0,0,0,0,0,0
FRA,France,1,1909,46,0,0,0,0,0
GBR,United Kingdom,2,2007,0,4500,1,0,4501,60000
GEO,Georgia,4,2009,15,27490,286,2436,30212,350000
GHA,Ghana,1,1939,17,0,0,0,0,0
GIN,Guinea,1,1983,275,20000,1436,0,21436,0
GLP,Guadeloupe,1,2004,1,100,13,40,153,0
Grand Total,,1224,,2297975,157186117,2545265,21556317,181287699,547984507
GRC,Greece,31,2014,954,1023292,4123,10008,1037423,7727300
GTM,Guatemala,16,2014,27746,5156750,77676,1181025,6415451,1215050
GUM,Guam,1,1993,0,0,71,0,71,120000
HND,Honduras,5,2009,9,50500,154,1865,52519,100000
HRV,Croatia,1,1996,0,0,0,2000,2000,0
HTI,Haiti,2,2010,222576,3400000,300000,0,3700000,8020000
HUN,Hungary,1,2013,0,1800,0,0,1800,0
IDN,Indonesia,105,2013,30115,7342555,170292,1023555,8536402,7189326
IND,India,27,2013,61820,25525580,213453,2160700,27899733,4199900
IRN,Iran Islam Rep,106,2014,147475,2255394,172879,263215,2691488,11826628
IRQ,Iraq,1,1991,20,0,0,500,500,0
ISL,Iceland,3,2000,1,129,7,69,205,24000
ITA,Italy,32,2012,115645,775372,12849,266300,1054521,49284852
JAM,Jamaica,1,1907,1200,90000,0,0,90000,30000
JOR,Jordan,1,1927,242,0,0,0,0,0
JPN,Japan,45,2014,161794,519773,150247,292599,962619,146841400
KAZ,Kazakhstan,1,2003,3,36000,626,0,36626,0
KEN,Kenya,1,1990,0,0,0,0,0,0
KGZ,Kyrgyzstan,6,2011,58,120368,100,32618,153086,163000
LBN,Lebanon,1,1956,136,0,200,0,200,0
LBY,Libyan Arab Jamah,1,1963,320,0,0,0,0,5000
LCA,St Lucia,1,2007,0,0,0,0,0,0
MAR,Morocco,3,2004,12728,0,25926,12539,38465,520000
MEX,Mexico,32,2014,10686,2508546,33532,116275,2658353,6161000
MMR,Myanmar,7,2012,663,19415,356,3152,22923,4770
MNG,Mongolia,1,1957,1200,0,0,0,0,0
MOZ,Mozambique,1,2006,4,0,36,1440,1476,0
MTQ,Martinique,1,2007,1,0,100,0,100,0
MWI,Malawi,3,2009,13,0,286,70550,70836,28000
NIC,Nicaragua,10,2014,12688,421715,20800,305660,748175,890000
NLD,Netherlands,1,1992,0,0,20,0,20,0
NPL,Nepal,6,2011,9936,688090,6860,35000,729950,306000
NZL,New Zealand,9,2013,459,632136,1590,300,634026,24787669
PAK,Pakistan,28,2013,143445,1570579,148407,5053585,6772571,5329755
