Country iso,Country name,Occurrences,Most recent,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 $)
ERI,Eritrea,2,2004,0,7000,13,0,7013,0
ESP,Spain,29,2013,825,802660,2214,21000,825874,9744889
ETH,Ethiopia,54,2013,2026,2239719,342,202214,2442275,19540
FIN,Finland,1,2005,0,400,0,0,400,0
FJI,Fiji,43,2012,354,1040490,567,36772,1077829,595633
FRA,France,52,2014,360,98151,71,260,98482,7303650
FSM,Micronesia Fed States,6,2008,53,7300,159,1375,8834,6500
GAB,Gabon,2,2012,1,87845,0,0,87845,0
GBR,United Kingdom,34,2013,204,373645,9,30000,403654,20960230
GEO,Georgia,17,2014,36,158060,304,2726,161090,386856
GHA,Ghana,17,2013,409,3646924,66,238000,3884990,108200
GIN,Guinea,12,2013,294,392420,1442,4000,397862,0
GLP,Guadeloupe,11,2007,35,10500,146,11490,22136,575000
GMB,Gambia The,9,2013,70,88069,0,5400,93469,0
GNB,Guinea Bissau,6,2010,6,58514,3,5450,63967,0
GRC,Greece,50,2014,450,1039322,3923,10008,1053253,8680659
GRD,Grenada,6,2005,40,62860,0,0,62860,904500
GTM,Guatemala,57,2014,26688,7155325,78725,1236395,8470445,4282463
GUF,French Guiana,1,1996,0,0,0,70000,70000,0
GUM,Guam,9,2004,12,11744,633,15602,27979,871145
GUY,Guyana,7,2008,44,458774,0,10000,468774,634300
HKG,Hong Kong (China),72,2005,773,76018,3280,31075,110373,365443
HND,Honduras,55,2014,26584,4244033,12217,69002,4325252,5166879
HRV,Croatia,10,2014,3,13776,0,2000,15776,80000
HTI,Haiti,78,2014,230677,6221415,305067,972887,7499369,9048865
HUN,Hungary,17,2014,310,236120,0,2263,238383,966400
IDN,Indonesia,323,2014,191947,17140072,424983,1759563,19324618,18068718
IND,India,380,2014,165195,923393352,239357,31791385,955424094,75717884
IRL,Ireland,7,2011,18,4400,0,0,4400,364000
IRN,Iran Islam Rep,164,2014,120258,6271995,157300,462585,6891880,19499156
IRQ,Iraq,11,2013,67,420890,21,63100,484011,9300
ISL,Iceland,8,2000,51,472,27,69,568,29789
ISR,Israel,4,2010,37,1013,0,0,1013,40000
ITA,Italy,74,2014,7367,2000735,12610,1587169,3600514,74306862
JAM,Jamaica,28,2006,270,2309136,51,53910,2363097,2761097
JOR,Jordan,5,1997,286,21700,121,2500,24321,3400
JPN,Japan,183,2014,30985,6606246,61818,348652,7016716,425039600
KAZ,Kazakhstan,12,2014,113,158006,1335,8762,168103,277270
KEN,Kenya,51,2013,1381,2950394,55,6200,2956649,258388
KGZ,Kyrgyzstan,18,2012,311,186199,120,56551,242870,205760
KHM,Cambodia,21,2014,1685,12705206,167,275805,12981178,1419110
KIR,Kiribati,3,2014,3,920,0,85,1005,0
KNA,St Kitts and Nevis,7,1999,6,12880,0,1400,14280,684900
KOR,Korea Rep,73,2014,5266,2973710,3229,754459,3731398,14953010
KWT,Kuwait,1,1997,2,200,0,0,200,0
LAO,Lao P Dem Rep,26,2014,569,4870087,420,1017600,5888107,264258
LBN,Lebanon,2,2003,0,18500,0,0,18500,10000
LBR,Liberia,5,2010,14,38070,0,340,38410,0
LBY,Libyan Arab Jamah,2,2013,16,2000,0,0,2000,42200
LCA,St Lucia,15,2013,97,273759,0,10350,284109,1131990
LKA,Sri Lanka,69,2014,37725,12969971,29304,4420065,17419340,2454064
LSO,Lesotho,5,2011,66,185000,0,0,185000,0
LTU,Lithuania,2,2010,4,0,0,0,0,0
LUX,Luxembourg,2,1993,0,0,0,0,0,10000
MAC,Macau,3,1993,0,1200,4,1153,2357,0
MAR,Morocco,29,2014,1892,574664,975,53487,629126,730250
MDA,Moldova Rep,7,2010,61,51108,0,849,51957,362584
