Country Name,Country Code,"Adjusted net enrollment rate, primary (% of primary school age children)",Age dependency ratio (% of working-age population),"Children out of school, primary",CPIA business regulatory environment rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),Income share held by highest 10%,Income share held by lowest 10%,Net official development assistance and aid,Poverty headcount ratio at national poverty lines,Refugee population by country or territory of origin,Gross fixed capital formation (current US$),Gross savings (% of GDP)
Afghanistan,AFG,,95.97,,2.5,2.5,2.5,,,5265950000,35.8,2556556,3601399881,-21.2
Albania,ALB,,45.68,,,,,22.93,3.66,298380000,14.3,10084,3379487019,18.2
Algeria,DZA,99.14,47.87,25337,,,,,,207960000,,3662,71040479586,45.3
American Samoa,ASM,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,5,,
Angola,AGO,85.67,99.61,512918,2,2.5,2.5,,,287610000,,10297,18242561386,18.5
Antigua and Barbuda,ATG,85.28,47.23,1572,,,,,,1560000,,49,278737037,7.8
Argentina,ARG,,54.28,,,,,31.84,1.57,30150000,,388,103818809580,16.2
Armenia,ARM,,44.09,,4.5,3,4,24.76,3.72,292760000,32,12021,2183104840,13.7
Aruba,ABW,98.93,44.34,93,,,,,,,,,,
Australia,AUS,96.93,50.15,61061,,,,,,,,28,442013064131,24.6
Austria,AUT,,48.91,,,,,,,,,10,95015398769,25.6
Azerbaijan,AZE,89.28,38.54,53798,4,3,4,,,-63130000,5.3,10813,18074314850,40.9
"Bahamas, The",BHS,97.8,40.89,694,,,,,,,,210,2212190000,11.3
Bahrain,BHR,,30.26,,,,,,,,,275,5920009787,27.3
Bangladesh,BGD,96.18,53.32,621163,3.5,3,3.5,27.03,3.99,2669110000,31.51,9839,42581715005,38.8
Barbados,BRB,97.13,42.34,614,,,,,,16200000,,67,,8.4
Belarus,BLR,93.09,41.1,25137,,,,21.47,3.88,104680000,5.5,4444,26490102395,28.5
Belgium,BEL,98.97,53.77,7427,,,,,,,,78,116900652773,20.9
Belize,BLZ,99.69,60.86,136,,,,,,49550000,,40,289915350,9.9
Benin,BEN,95.47,84,75254,3.5,3.5,3,34.86,2.7,652610000,36.2,305,2182616792,13.8
Bermuda,BMU,83.46,,797,,,,,,,,,,
Bhutan,BTN,90.66,48.94,9135,3.5,4,3,30.75,2.86,134690000,12,31567,842110113,25.5
Bolivia,BOL,81.6,66.01,272823,2.5,3.5,3.5,33.55,0.84,699150000,44.95,601,5844960781,23.9
Bosnia and Herzegovina,BIH,,45.53,,3.5,3.5,3.5,,,550040000,17.9,26811,3192491345,12.3
Botswana,BWA,,59.1,,,,,,,108380000,,168,5015085000,39.4
Brazil,BRA,,46.22,,,,,41.67,1.04,1150170000,8.9,986,408331788264,13.7
Brunei Darussalam,BRN,94.9,42.05,2275,,,,,,,,1,2466979453,
Bulgaria,BGR,96.41,49.25,9103,,,,26.03,2.07,,21,1880,11609871064,23.4
Burkina Faso,BFA,67.87,92.25,912426,3.5,4,3.5,,,1040110000,,1688,3294614588,22
Burundi,BDI,94.77,88.57,78044,3,3,3,,,546270000,,72652,780287486,17.8
Cabo Verde,CPV,98.18,53.51,1081,3.5,3,4,,,243370000,,27,631078466,29.7
Cambodia,KHM,98.38,57.32,28581,3.5,3,2.5,26.91,4.04,804810000,17.7,13748,2753571571,8.5
Cameroon,CMR,91.53,85.83,294813,3,3,3,,,737490000,,11442,5736521334,10.2
Canada,CAN,,46.26,,,,,25.74,2.68,,,100,433369087688,21
Cayman Islands,CYM,,,,,,,,,,,6,,
Central African Republic,CAF,72.16,77.53,193652,2,2,2,,,189250000,,252865,320247424,
Chad,TCD,79.27,103.33,468043,2.5,2.5,2.5,32.56,1.82,399330000,46.7,48644,3701416992,
Channel Islands,CHI,,46.01,,,,,,,,,,,
Chile,CHL,92.68,45.05,108768,,,,41.72,1.68,78520000,14.4,596,65444148803,20.4
China,CHN,,36.81,,,,,29.98,1.69,-651110000,,195137,4370836006822,51.3
Colombia,COL,91.15,51.17,391648,,,,41.98,1.07,852030000,30.6,396635,92724402316,19.7
Comoros,COM,83.42,81.6,19357,2.5,3,2.5,,,81900000,,515,106331177,14.6
"Congo, Dem. Rep.",ZAR,,91.9,,3,2.5,2.5,,,2572220000,63.6,499541,6718268071,9.5
"Congo, Rep.",COG,91.62,84.94,56264,2.5,3,2.5,29.85,2.17,150420000,46.5,11751,4329127674,
Costa Rica,CRI,90.97,43.97,41981,,,,37.05,1.47,37770000,22.4,462,10406528205,16.1
Cote d'Ivoire,CIV,,80.19,,3,3,2.5,,,1262000000,,85729,5292228075,16.8
Croatia,HRV,98.77,49.63,2034,,,,,,280000,19.5,49760,11171449105,19.3
Cuba,CUB,96.4,41.88,28528,,,,,,101240000,,7428,8294527384,
Curacao,CUW,,50.07,,,,,,,,,35,,
Cyprus,CYP,98.18,41.32,988,,,,,,,,10,4260927152,7.8
Czech Republic,CZE,,46.13,,,,,22.24,3.69,,8.6,991,52070803544,23.6
Denmark,DNK,98.15,54.95,8599,,,,22.1,3.29,,,10,61547688112,25.9
Djibouti,DJI,64.6,60.46,33531,3.5,2.5,3,,,152950000,,762,,
Dominica,DMA,96.23,,282,4,3.5,3.5,,,19880000,,43,62222222,-1.9
Dominican Republic,DOM,89.08,57.5,136567,,,,35.75,1.89,148130000,41.1,306,13128048439,18.8
Ecuador,ECU,96.8,57.4,60153,,,,35.4,1.41,147860000,22.5,707,26312879000,27.2
"Egypt, Arab Rep.",EGY,97.27,58.51,258378,,,,,,5505650000,25.2,12834,37477119722,13
El Salvador,SLV,92.11,58.98,58489,,,,32.47,2.15,171370000,29.6,9638,3663900000,9.1
Equatorial Guinea,GNQ,62.19,71.4,38352,,,,,,5740000,,200,9099229687,
Eritrea,ERI,,83.21,,1.5,2,2,,,83690000,,308022,260733664,
Estonia,EST,96.85,51.19,2385,,,,24.81,2.48,,18.6,352,6795362950,25.1
Ethiopia,ETH,,85.54,,3.5,3.5,3.5,27.51,3.2,3826250000,29.6,77118,17012564582,31.1
Faeroe Islands,FRO,,,,,,,,,,,,,
Fiji,FJI,98.69,52.2,1287,,,,,,90900000,,1112,,
Finland,FIN,98.9,55,3798,,,,22.59,3.73,,,8,56624152009,19.7
France,FRA,98.88,56.46,43491,,,,,,,,98,619955264775,20.1
French Polynesia,PYF,,42.41,,,,,,,,,,,
Gabon,GAB,,77.42,,,,,,,90870000,,177,6432017650,
