Country iso,Country name,Occurrences,Most recent,Total deaths,Affected,Injured,Homeless,Total affected,Total damage
AFG,Afghanistan,76,2014,4615,1338263,1265,70695,1410223,396000
AGO,Angola,30,2015,561,1085787,47,112385,1198219,10000
AIA,Anguilla,1,1983,0,0,0,0,0,0
ALB,Albania,10,2015,19,178984,0,0,178984,24673
ARG,Argentina,51,2014,839,13552531,47,556874,14109452,10060210
ARM,Armenia,3,2004,5,7000,0,144,7144,8120
ASM,American Samoa,1,2003,6,0,3,0,3,50000
AUS,Australia,60,2012,312,307852,87,7000,314939,13718700
AUT,Austria,16,2013,43,61616,0,0,61616,4594200
AZE,Azerbaijan,7,2010,19,1682800,0,157500,1840300,96200
BDI,Burundi,21,2014,144,35240,193,58805,94238,0
BEL,Belgium,22,2011,27,11125,0,0,11125,265146
BEN,Benin,19,2013,183,2749368,1000,436179,3186547,8315
BFA,Burkina Faso,17,2013,147,496509,1104,87644,585257,150176
BGD,Bangladesh,86,2014,52300,316072962,102839,4255362,320431163,12198400
BGR,Bulgaria,19,2015,82,58747,10,1260,60017,862000
BHS,Bahamas,2,2013,0,1000,0,0,1000,45000
BIH,Bosnia-Hercegovenia,11,2014,28,1328740,0,0,1328740,523580
BLR,Belarus,3,1999,2,42000,0,0,42000,104380
BLZ,Belize,4,2008,1,57600,0,0,57600,12397
BOL,Bolivia,39,2015,1130,3447737,485,142075,3590297,1662118
BRA,Brazil,123,2014,7713,18413846,12616,1119073,19545535,8817254
BRB,Barbados,2,1984,3,200,10,100,310,500
BTN,Bhutan,3,2004,222,600,0,1000,1600,0
BWA,Botswana,9,2013,43,137102,7,34000,171109,5050
CAF,Central African Rep,15,2013,16,94470,7,88919,183396,0
CAN,Canada,38,2014,47,275870,4,12000,287874,8702900
CHE,Switzerland,8,2007,10,5600,1,0,5601,2848500
CHL,Chile,28,2015,1040,1301562,58,154126,1455746,695600
CHN,China P Rep,250,2014,6599541,1947806682,826906,43866129,1992499717,211389396
CIV,Cote d'Ivoire,8,2015,98,15875,0,0,15875,0
CMR,Cameroon,14,2014,124,48425,112,50339,98876,0
COD,Zaire/Congo Dem Rep,21,2014,234,215595,668,48697,264960,0
COG,Congo,9,2012,28,103525,89,69500,173114,59
COL,Colombia,73,2014,3438,15977004,2967,302200,16282171,3579353
COM,Comoros,2,2012,6,67487,150,0,67637,5000
CPV,Cape Verde Is,1,2009,3,150,0,0,150,0
CRI,Costa Rica,27,2012,147,601815,125,31127,633067,403000
CSK,Czechoslovakia,1,1987,0,0,0,0,0,1000
CUB,Cuba,23,2013,118,1033670,51,38141,1071862,202590
CZE,Czech Rep,13,2013,100,1607950,2409,11973,1622332,5744112
DEU,Germany,15,2013,54,543000,108,0,543108,26553600
DFR,Germany Fed Rep,7,1991,13,3500,12,0,3512,456000
DJI,Djibouti,7,2004,231,655500,300,33500,689300,5719
DOM,Dominican Rep,25,2015,844,1544630,3,14692,1559325,97725
DZA,Algeria,48,2012,4864,636150,1205,133670,771025,1543917
ECU,Ecuador,29,2013,976,1855784,331,130058,1986173,1561570
EGY,Egypt,12,2010,734,181220,78,53200,234498,155000
ERI,Eritrea,2,2004,0,7000,13,0,7013,0
ESP,Spain,28,2013,1297,742660,1735,6000,750395,8560885
ETH,Ethiopia,51,2013,1976,2239719,167,201610,2441496,19220
FIN,Finland,1,2005,0,400,0,0,400,0
FJI,Fiji,12,2012,71,254825,0,10000,264825,186247
FRA,France,44,2014,269,97951,43,200,98194,7595850
FSM,Micronesia Fed States,1,2008,0,0,0,0,0,0
GAB,Gabon,2,2012,1,87845,0,0,87845,0
GBR,United Kingdom,32,2014,93,357685,8,30000,387693,21224230
