Indicator,ISO3,Population,Human Development Index,Multidimensional Poverty Index,Public Aid per capita,Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,Measles immunization coverage,Tuberculosis prevalence,Health expenditure per capita,Malaria death rate,Income Gini coefficient,Food Availability Score,Food Utilization Score,Food Access Score,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult literacy rate,Internet users,Mobile cellular subscriptions,Improved sanitation facilities,Improved water source,GDP per capita
Côte d'Ivoire,CIV,20316086,45,,209.5,11.1,100.0,15.7,1.4,85,228,144,88.0,41.5,2.9,3.2,6.3,1.9,-1.0,27,58.9,56.9,2.4,96.3,21.9,80.2,1590
Croatia,HRV,4252700,81,,0.2,0.0,4.5,,27.2,95,20,1410,,33.7,3.6,0.0,2.7,3.3,0.7,48,,98.9,63.0,113.3,98.2,98.6,18014
Cuba,CUB,11265629,81,,17.4,0.1,6.2,,67.2,99,14,405,,,1.3,0.0,x,4.0,-0.4,46,97.0,99.8,25.6,14.9,92.6,94.0,9900
Cyprus,CYP,1141166,85,,0.0,0.0,3.6,,27.5,86,6,2266,,,6.1,0.0,2.2,,1.4,63,,98.7,61.0,98.4,100.0,100.0,27521
Czech Republic,CZE,10521468,86,,0.0,0.0,3.6,2.1,37.1,98,7,2046,,,2.7,0.0,2.1,4.0,0.9,48,,,75.0,122.8,100.0,99.8,27063
Denmark,DNK,5613706,90,,0.0,0.0,3.5,,34.2,90,10,4720,,,2.3,0.0,0.8,3.9,2.0,91,,,93.0,118.0,100.0,100.0,37048
Djibouti,DJI,872932,47,0.127,451.5,0.0,69.6,29.8,2.3,83,897,231,1.0,40.0,4.9,4.6,x,2.8,-1.2,36,,,8.3,22.7,61.4,92.1,2641
Dominica,DMA,72003,72,,696.1,5.4,11.4,,,99,25,740,,,2.1,0.0,x,,0.7,58,,,55.2,161.5,81.1,94.4,14339
Dominican Republic,DOM,10403761,70,0.026,47.2,0.5,28.1,3.4,,79,98,553,0.1,47.2,5.7,3.2,x,3.2,-0.5,29,96.9,90.1,45.0,88.8,82.0,80.9,9287
Ecuador,ECU,15737878,71,,20.4,0.2,22.5,6.2,16.9,94,98,652,0.1,49.3,5.2,2.1,3.9,3.8,-0.5,35,92.2,91.6,35.1,110.7,83.1,86.4,8487
Egypt,EGY,82056378,68,0.036,29.0,0.7,21.8,6.8,28.3,93,29,323,0.0,30.8,0.0,0.0,8.1,3.3,-0.9,32,99.6,73.9,44.1,115.3,95.9,99.3,6455
El Salvador,SLV,6340454,66,,81.4,1.0,15.7,6.6,16.0,93,34,475,0.1,48.3,5.1,2.8,x,2.9,-0.1,38,91.6,84.5,25.5,138.1,70.5,90.1,7550
Equatorial Guinea,GNQ,757014,56,,50.8,0.1,95.8,10.6,,51,164,1432,150.0,,3.7,0.0,x,,-1.6,19,,94.2,13.9,67.7,88.9,50.9,19321
Eritrea,ERI,6333135,38,,47.0,4.4,49.9,34.5,,99,152,17,1.0,,9.6,10.0,x,,-1.5,20,32.0,68.9,0.8,5.5,13.2,60.2,735
Estonia,EST,1324612,84,,0.0,0.0,3.4,,33.4,94,29,1385,,36.0,2.7,0.0,2.8,,1.0,68,,99.8,79.0,154.5,95.2,99.1,20379
Ethiopia,ETH,94100756,44,0.537,88.6,7.6,64.4,29.2,0.3,66,224,44,44.0,33.6,7.1,10.0,4.2,3.9,-0.5,33,23.0,39.0,1.5,23.7,23.6,51.5,1092
Fiji,FJI,881065,72,,217.7,2.9,23.6,,4.3,99,30,197,,42.8,3.5,0.0,2.6,5.0,-1.0,,,,33.7,98.1,87.2,96.3,4643
Finland,FIN,5439407,88,,0.0,0.0,2.6,,29.1,97,7,3545,,26.9,2.7,0.0,0.9,4.1,2.2,89,,,91.0,172.5,100.0,100.0,35981
France,FRA,66028467,88,,0.0,0.0,4.2,,33.8,89,12,4260,,,1.2,0.0,0.4,3.8,1.5,71,,,83.0,98.1,100.0,100.0,35068
Gabon,GAB,1671711,67,0.073,84.8,0.5,56.1,6.5,,71,563,558,83.0,41.5,3.7,0.0,8.2,2.3,-0.8,34,60.0,89.0,8.6,187.4,41.4,92.2,16313
Gambia,GMB,1849285,44,0.329,157.9,15.7,73.8,15.8,1.1,95,490,98,97.0,47.3,3.1,0.3,8.1,3.8,-0.7,28,,51.1,12.4,83.6,60.2,90.1,1943
Georgia,GEO,4476900,74,0.008,281.8,4.2,13.1,1.1,42.2,93,158,561,0.1,42.1,5.1,1.6,x,3.1,0.5,49,,99.7,45.5,109.2,93.3,98.7,5491
Germany,DEU,80621788,91,,0.0,0.0,3.9,1.1,36.9,97,8,4617,,28.3,1.5,0.0,0.9,3.9,1.5,78,,,84.0,131.3,100.0,100.0,38077
Ghana,GHA,25904598,57,0.144,139.6,4.6,78.4,14.3,0.9,88,92,106,74.0,42.8,1.1,0.0,3.9,3.6,-0.1,46,60.5,71.5,17.1,100.3,14.4,87.2,3113
Greece,GRC,11032328,85,,0.0,0.0,4.4,,,99,6,2347,,34.3,2.0,0.0,1.3,4.1,0.4,40,,97.3,56.0,116.9,98.6,99.8,26258
Grenada,GRD,105897,74,,185.8,1.0,11.8,,6.6,94,7,691,,,5.7,4.6,x,3.1,0.3,,,,42.1,121.6,98.0,96.8,13802
Guatemala,GTM,15468203,63,,45.8,0.6,31.0,13.0,9.3,93,110,368,0.1,55.9,4.4,3.1,x,2.8,-0.7,29,80.0,75.9,16.0,137.3,80.3,93.8,5079
Guinea,GIN,11745189,39,0.548,52.6,6.5,100.7,16.3,1.0,58,274,67,140.0,39.4,4.5,4.4,10.0,3.0,-1.3,24,,25.3,1.5,45.6,18.9,74.8,1086
