Country iso,Country name,Occurrences,Most recent,Total deaths,Affected,Injured,Homeless,Total affected,Total damage
MOZ,Mozambique,16,2012,652,3095245,2113,586800,3684158,113550
MSR,Montserrat,4,1995,11,0,40,12000,12040,260000
MTQ,Martinique,14,2011,82,27900,19,3200,31119,649010
MUS,Mauritius,17,2007,28,1014849,1914,12500,1029263,626373
MWI,Malawi,1,2012,0,6000,0,0,6000,0
MYS,Malaysia,2,1997,272,3265,26,3000,6291,53000
NCL,New Caledonia,16,2003,20,2000,100,1000,3100,43900
NIC,Nicaragua,18,2010,3919,1640578,556,67563,1708697,1757180
NIU,Niue,5,2004,1,6000,2,500,6502,41541
NOR,Norway,1,1993,0,0,0,0,0,3000
NZL,New Zealand,3,2007,56,1300,0,0,1300,0
OMN,Oman,5,2011,218,25050,281,0,25331,4950000
PAK,Pakistan,7,2010,11555,2369040,155,230745,2599940,1715036
PAN,Panama,2,1998,33,14232,0,2000,16232,60050
PER,Peru,1,1997,518,580000,730,0,580730,12000
PHL,Philippines,294,2015,48020,147205743,70554,5326171,152602468,19215292
PLW,Palau,1,2013,0,0,0,0,0,0
PNG,Papua New Guinea,6,2014,219,199486,40,22500,222026,1500
PRI,Puerto Rico,19,2012,578,166815,0,871,167686,3380000
PRK,Korea Dem P Rep,8,2012,144,546473,1068,182149,729690,6110510
PYF,French Polynesia,4,2010,8,8400,61,0,8461,48000
REU,Reunion,10,2014,229,17450,466,3400,21316,254000
RUS,Russia,7,2004,36,0,62,0,62,66050
SLB,Solomon Is,15,2015,323,216425,10,62040,278475,20000
SLV,El Salvador,13,2010,2851,248358,43,17800,266201,1704410
SOM,Somalia,2,2013,192,142380,0,0,142380,0
SPI,Canary Is,1,2005,19,0,0,0,0,375000
SWZ,Swaziland,1,1984,53,632000,0,500,632500,54152
SYC,Seychelles,2,2013,0,9800,0,0,9800,9300
TCA,Turks and Caicos Is,6,2008,4,2470,0,0,2470,500005
THA,Thailand,20,2011,1588,3765068,414,94414,3859896,763823
TJK,Tajikistan,1,1999,0,0,0,1500,1500,200
TKL,Tokelau,5,2005,0,0,1,127,128,2400
TON,Tonga,12,2014,13,145371,34,50200,195605,111100
TTO,Trinidad and Tobago,7,2005,40,51560,0,0,51560,39057
TUV,Tuvalu,5,2015,6,1000,0,550,1550,0
TWN,Taiwan (China),72,2014,5742,3448299,2458,5800,3456557,5902432
TZA,Tanzania Uni Rep,1,1994,4,0,0,2500,2500,0
UKR,Ukraine,2,1997,11,1000,0,0,1000,35600
USA,United States,105,2014,16109,13165527,337,346419,13512283,401827810
VCT,St Vincent and the Grenadines,9,2010,128,27630,12,800,28442,67100
VEN,Venezuela,4,2010,124,1645,405,5580,7630,4500
VGB,Virgin Is (UK),2,1996,0,0,3,0,3,12000
VIR,Virgin Is (US),6,2004,10,2000,0,18000,20000,1237800
VNM,Viet Nam,80,2014,18615,42901438,11807,4357355,47270600,6206700
VUT,Vanuatu,25,2015,194,449655,29,10895,460579,205250
WLF,Wallis and Futuna Is,4,2012,1,5750,2,0,5752,0
WSM,Samoa,8,2012,53,362703,4,28000,390707,627338
ZAF,South Africa,2,2012,64,501350,0,0,501350,92000
ZWE,Zimbabwe,2,2007,8,0,0,0,0,1200
