Country iso,Country name,Occurrences,Most recent,Total deaths,Affected,Injured,Homeless,Total affected,Total damage
AIA,Anguilla,5,1999,5,150,250,1000,1400,37165
ANT,Netherlands Antilles,4,1995,13,40000,0,0,40000,1050000
ASM,American Samoa,4,2005,90,20000,60,3000,23060,155000
ATG,Antigua and Barbuda,11,2010,12,42800,208,7506,50514,543600
AUS,Australia,38,2015,167,81770,707,9090,91567,9746604
AZO,Azores,1,1946,27,0,0,0,0,0
BGD,Bangladesh,86,2013,626863,64620647,876452,9568068,75065167,4765979
BHS,Bahamas,22,2012,61,31700,3,1700,33403,2608100
BLR,Belarus,1,1997,5,21045,45,300,21390,33000
BLZ,Belize,14,2010,1859,248000,570,0,248570,624857
BMU,Bermuda,4,2003,4,0,40,0,40,350000
BRA,Brazil,1,2004,4,150000,60,0,150060,350000
BRB,Barbados,7,2010,58,2500,7,8110,10617,106700
BTN,Bhutan,2,2009,29,65000,0,0,65000,0
CAN,Canada,8,2011,88,200,3,0,203,310100
CHN,China P Rep,137,2014,170265,261877450,45580,2168960,264091990,63583592
COD,Zaire/Congo Dem Rep,1,2003,17,0,2500,20000,22500,0
COK,Cook Is,11,2010,25,6238,216,0,6454,25000
COL,Colombia,3,2005,28,103074,0,0,103074,50500
COM,Comoros,5,2014,59,74511,52,50000,124563,42804
CPV,Cape Verde Is,2,1984,32,7600,122,0,7722,3000
CRI,Costa Rica,8,2010,92,694336,7500,6500,708336,378390
CUB,Cuba,37,2012,5021,11278255,877,367924,11647056,10255968
CYM,Cayman Islands,7,2008,2,300,0,0,300,3496580
DEU,Germany,1,1996,0,0,0,0,0,500
DMA,Dominica,13,2011,2049,88929,2131,5411,96471,284250
DOM,Dominican Rep,27,2012,4485,2376698,11048,475500,2863246,2797910
ESP,Spain,1,1984,6,60000,30,0,60030,1000000
FJI,Fiji,34,2012,513,793665,1367,36772,831804,412486
FRA,France,2,1996,1,0,0,0,0,10
FSM,Micronesia Fed States,5,2004,53,7300,159,1375,8834,6500
GBR,United Kingdom,1,1996,5,12000,0,0,12000,300000
GLP,Guadeloupe,12,2007,2048,20400,233,11450,32083,575000
GNB,Guinea Bissau,2,1993,1,1722,3,3700,5425,0
GRC,Greece,1,1961,43,0,0,0,0,0
GRD,Grenada,6,2005,46,62860,0,0,62860,899800
GTM,Guatemala,13,2014,2377,1102656,551,0,1103207,2402000
GUM,Guam,9,2004,18,11744,562,15602,27908,1001145
HKG,Hong Kong (China),53,2010,23677,57931,3616,10905,72452,279653
HND,Honduras,21,2010,24621,2929093,12040,40768,2981901,4673179
HTI,Haiti,35,2012,14137,2500886,3841,885893,3390620,1236906
IDN,Indonesia,6,2004,1953,4315,183,800,5298,0
IND,India,104,2014,159349,92116308,12422,9733400,101862130,16871996
IRL,Ireland,2,1996,13,0,0,0,0,1000
IRN,Iran Islam Rep,1,2007,12,160000,9,0,160009,0
ITA,Italy,1,1970,35,200,0,0,200,3200
JAM,Jamaica,28,2012,604,1478846,251,100608,1579705,2662182
JPN,Japan,123,2014,32662,7596229,8020,48015,7652264,56125900
KHM,Cambodia,3,2009,44,178000,91,0,178091,10
KIR,Kiribati,2,2015,3,700,0,0,700,0
KNA,St Kitts and Nevis,8,1999,6,12880,0,1400,14280,684400
KOR,Korea Rep,36,2014,3669,438891,365,22491,461747,11743431
LAO,Lao P Dem Rep,3,2009,64,397571,193,1000000,1397764,103650
LCA,St Lucia,13,2010,101,251600,0,10350,261950,1135455
LKA,Sri Lanka,7,2013,1167,1958478,5000,172861,2136339,194300
MAC,Macau,3,1993,0,1200,4,1153,2357,0
MAR,Morocco,1,2005,1,0,0,0,0,50
MDG,Madagascar,52,2015,2641,8643431,4410,1082695,9730536,2102301
MEX,Mexico,83,2014,4737,7290711,2114,627300,7920125,31025510
MHL,Marshall Is,1,1991,0,0,0,6000,6000,0
MMR,Myanmar,17,2010,144663,3616364,20280,299200,3935844,4079388
MNP,Northern Mariana Is,2,2004,3,200,0,300,500,0
